Thiersee;<70527>;1604;;1558
Wildschönau;<70530>;2204;;2138
Wörgl;<70531>;7064;;7339
Eben am Achensee;<70907>;1722;;1773
Fügen;<70909>;2084;;2231
Jenbach;<70917>;3705;;3787
Mayrhofen;<70920>;1936;;2018
Schwaz;<70926>;6977;;7234
Vomp;<70936>;2671;;2746
Bludenz;<80103>;7545;;7484
Bürs;<80106>;1682;;1736
Ludesch;<80115>;1859;;1818
Nenzing;<80116>;3262;;3140
Nüziders;<80117>;2418;;2572
Schruns;<80122>;1969;;2058
Egg;<80211>;1834;;1850
Mittelberg;<80228>;2553;;2574
Alberschwende;<80201>;1657;;1566
Bregenz;<80207>;14495;;15125
Fußach;<80213>;2018;;1914
Hard;<80215>;6784;;7002
Höchst;<80217>;4166;;4144
Hörbranz;<80218>;3256;;3418
Lauterach;<80224>;5221;;5212
Lochau;<80226>;3067;;3463
Schwarzach;<80235>;1937;;1961
Wolfurt;<80240>;4362;;4403
Dornbirn;<80301>;25492;;25730
Hohenems;<80302>;8563;;8676
Lustenau;<80303>;11806;;12037
Altach;<80401>;3419;;3551
Feldkirch;<80404>;17791;;18002
Frastanz;<80405>;3340;;3359
Göfis;<80407>;1658;;1669
Götzis;<80408>;6034;;6007
Klaus;<80409>;1533;;1540
Koblach;<80410>;2404;;2453
Mäder;<80412>;2120;;2063
Rankweil;<80414>;5935;;6215
Zwischenwasser;<80424>;1771;;1604
